venue_id,venue_name,venue_type,venue_lat,venue_lng,rating,reviews,price_level,h3_cell,open_now,current_busyness,day_mean,fullness_score,relative_score,expected_momentum_score,popularity_score,venue_base_hotness,area_hotness_smoothed,venue_hotness_final
ven_4133713073623968587a4352676f4254566a6f415f5f304a496843,Colectivo Coffee State St.,CAFE,43.0747558,-89.3955037,4.4,723,2,89275800e27ffff,0,40.0,50.0,0.4,0.533333,1.0,0.680327,0.0,0.166605,0.049981
ven_4173575770435f7955575452676f42545654644a6d55394a496843,Sunroom Cafe & Machiques Venezuelan Restaurant,RESTAURANT,43.0749938,-89.3961944,4.2,461,1,89275800e27ffff,0,40.0,57.0,0.4,0.467836,1.0,0.6051,0.0,0.166605,0.049981
ven_496e66764353664439666b52676f4254567a454342346c4a496843,Starbucks Coffee Company,COFFEE,43.0748,-89.39693,4.0,454,2,89275800e27ffff,0,25.0,40.0,0.25,0.416667,0.25,0.574852,0.0,0.166605,0.049981
ven_38506a355a6462624b347852676f425439385f5157564e4a496843,Poke Plus Madison,AMERICAN_RESTAURANT,43.0747668,-89.3964155,4.1,152,2,89275800e27ffff,0,0.0,44.0,0.0,0.0,0.0,0.484298,0.0,0.166605,0.049981
ven_674363395f2d4c576d557852676f425478704a436739644a496843,Eat the Best Pizza,PIZZA_RESTAURANT,43.0747795,-89.3977354,4.1,143,2,89275800e27ffff,0,0.0,41.0,0.0,0.0,0.0,0.478462,0.0,0.166605,0.049981
ven_6358686575446657596b455267344273714d6f576f56344a496843,Peet's Coffee & Tea,COFFEE,43.0761743,-89.3992941,3.7,116,1,89275800e27ffff,0,40.0,49.0,0.4,0.544218,1.0,0.413743,0.0,0.166605,0.049981
ven_6b654144696a613646776b52676f4254566a535a4732364a496843,Memorial Library,LIBRARY,43.075434,-89.397867,4.4,88,0,89275800e27ffff,0,0.0,51.0,0.0,0.0,0.0,0.463757,0.0,0.166605,0.049981
ven_4930554b3570784a36495452676f42546c78324c7156434a496843,Pure Green State St. Closed until 1.19.26 - Capitol Square location is open,FOOD_AND_DRINK,43.0749883,-89.3960837,4.5,86,2,89275800e27ffff,0,65.0,43.0,0.65,1.0,1.0,0.471895,0.0,0.166605,0.049981
ven_4d6c45316261756d56716b5267344273717378304779774a496843,The University Club - Madison,RESTAURANT,43.0745707,-89.3992964,4.5,74,0,89275800e27ffff,0,80.0,10.0,0.8,1.0,1.0,0.456212,0.0,0.166605,0.049981
ven_455a6f4f585f707651356852676f42545665486a5730564a496843,MachiquesCity Venezuelan Restaurant,RESTAURANT,43.0750198,-89.3961257,4.6,57,1,89275800e27ffff,0,0.0,55.0,0.0,0.0,0.0,0.438586,0.0,0.166605,0.049981
ven_6f5831586f7a776133535452673442735737546e587a4b4a496843,Alumni Park at UW-Madison,PARK,43.0763506,-89.3989237,4.5,57,0,89275800e27ffff,0,45.0,46.0,0.45,0.652174,1.0,0.429051,0.0,0.166605,0.049981
ven_4d6838307646476d6e744252676f42543942544b4855434a496843,Candy Cloud - Madison,CAFE,43.0733712,-89.397153,4.6,40,0,89275800e27ffff,0,0.0,55.0,0.0,0.0,0.0,0.401119,0.0,0.166605,0.049981
ven_30626f776537304876536952676f4254784a575970596d4a496843,MOKA,COFFEE,43.0748438,-89.3979378,4.4,37,1,89275800e27ffff,0,0.0,38.0,0.0,0.0,0.0,0.375828,0.0,0.166605,0.049981
ven_49556e4b5a714f4159383752676f4254567a45664a57574a496843,Walgreens,SHOPPING,43.0750053,-89.3972,3.1,35,2,89275800e27ffff,0,55.0,58.0,0.55,0.632184,1.0,0.260852,0.0,0.166605,0.049981
ven_496e36684533796479525652676f4254523136757330364a496843,Frances Street Market,CONVENIENCE_STORE,43.0744802,-89.3960787,4.6,13,0,89275800e27ffff,0,0.0,28.0,0.0,0.0,0.0,0.285056,0.0,0.166605,0.049981
ven_675230586f5f546e75706652676f425442396f595a54464a496843,Target Grocery,GROCERY,43.0751438,-89.3960497,4.1,9,0,89275800e27ffff,0,30.0,58.0,0.3,0.344828,0.75,0.221678,0.0,0.166605,0.049981
ven_5146585948744c61635f5052676f4254564f374657626e4a496843,Target,SHOPPING_CENTER,43.0750075,-89.3960339,4.3,0,0,89275800e27ffff,0,30.0,67.0,0.3,0.298507,0.75,0.0,0.0,0.166605,0.049981
ven_67492d54612d636a697234526734427371633344367a674a496843,Chazen Museum of Art,MUSEUM,43.0736499,-89.3989253,4.7,963,0,8927580085bffff,0,0.0,82.0,0.0,0.0,0.0,0.75831,0.0,0.164411,0.049323
ven_51674b674b36673277696a52676f425452447a57782d4a4a496843,Fresh Madison Market,SUPERMARKET,43.072948,-89.397763,4.1,943,0,8927580085bffff,0,35.0,49.0,0.35,0.47619,0.875,0.659486,0.0,0.164411,0.049323
ven_6b44394f6963534f617a7352676f4254567a786b772d6d4a496843,Buffalo Wild Wings,RESTAURANT,43.0731466,-89.3984569,3.3,578,2,8927580085bffff,0,0.0,62.0,0.0,0.0,0.0,0.492928,0.0,0.164411,0.049323
ven_6f514d39655043792d67335267344273754d54737955644a496843,Anytime Fitness,SPORTS_COMPLEX,43.072305,-89.3985995,4.6,347,0,8927580085bffff,0,45.0,48.0,0.45,0.625,0.0,0.632121,0.0,0.164411,0.049323
ven_45556849756c61506a74755267344274654568553331434a496843,Valentia Coffee,COFFEE,43.0730463,-89.3988744,4.3,189,1,8927580085bffff,0,85.0,53.0,0.85,1.0,1.0,0.529791,0.0,0.164411,0.049323
ven_416343744c65426d4758395267344274325669525777564a496843,Nicholas Recreation Center,SPORTS_COMPLEX,43.0707317,-89.3989429,4.5,148,0,8927580085bffff,0,10.0,41.0,0.1,0.162602,0.25,0.528748,0.0,0.164411,0.049323
ven_63314955616867394431765267344273754d533457616a4a496843,Walgreens,OTHER,43.0722873,-89.3985428,2.3,72,2,8927580085bffff,0,30.0,45.0,0.3,0.444444,0.75,0.231715,0.0,0.164411,0.049323
ven_6763354e34394c5933465052676f42544a6d714f4b586b4a496843,Tenney Park - Boat Launch,OTHER,43.0953331,-89.3702472,4.4,10,0,89275800c83ffff,0,0.0,22.0,0.0,0.0,0.0,0.247746,0.0,0.160758,0.048228
ven_595a514f6d6e5846464a4152676f4254313356487a66714a496843,Filene Park,PARK,43.0953589,-89.3696254,3.0,1,0,89275800c83ffff,0,45.0,48.0,0.45,0.625,0.0,0.048828,0.0,0.160758,0.048228
ven_7765544746556435312d3252676f42546454794156532d4a496843,Paul's Pel'meni,CHINESE_RESTAURANT,43.074533,-89.3940635,4.7,1751,1,892758008cbffff,0,0.0,60.0,0.0,0.0,0.0,0.824243,0.0,0.159962,0.047989
ven_4152595f4e50503961795152676f42545a44456556566b4a496843,Samba Brazilian Grill,RESTAURANT,43.0753194,-89.3930582,4.4,1509,3,892758008cbffff,0,0.0,46.0,0.0,0.0,0.0,0.756274,0.0,0.159962,0.047989
ven_597754696d44616234335752676f4254565476333458774a496843,"MOOYAH Burgers, Fries & Shakes",BURGER_RESTAURANT,43.074752,-89.395304,4.5,1402,2,892758008cbffff,0,0.0,58.0,0.0,0.0,0.0,0.765696,0.0,0.159962,0.047989
ven_514570756273564f67506e52676f42545a7a5234725f574a496843,Fair Trade Coffee House,COFFEE,43.0749218,-89.3920072,4.4,547,1,892758008cbffff,0,30.0,56.0,0.3,0.357143,0.75,0.651552,0.0,0.159962,0.047989
ven_496a31665267587339487452676f4254744437656d57664a496843,Le C's Patisserie & Tea House,TEA,43.0746497,-89.3922205,4.5,458,2,892758008cbffff,0,0.0,60.0,0.0,0.0,0.0,0.647633,0.0,0.159962,0.047989
ven_4d45576f674d5a79716a4d52676f42545a5451657639664a496843,Dubai Mediterranean Restaurant and Bar,MEDITERANEAN_RESTAURANT,43.0747066,-89.3926465,4.1,457,2,892758008cbffff,0,0.0,50.0,0.0,0.0,0.0,0.589856,0.0,0.159962,0.047989
ven_51475742366d314379327152676f42545a6a443974646e4a496843,Los Gemelos Restaurant,MEXICAN_RESTAURANT,43.075265,-89.393344,3.7,454,1,892758008cbffff,0,0.0,32.0,0.0,0.0,0.0,0.531738,0.0,0.159962,0.047989
ven_6b767166514b4d39784c4152676f42545a44456556566b4a496843,The Side Door Grill and Tap,RESTAURANT,43.0754397,-89.3931632,4.6,366,1,892758008cbffff,0,0.0,34.0,0.0,0.0,0.0,0.637863,0.0,0.159962,0.047989
ven_675771746b565a6f62377152676f4254566a6d783239634a496843,Camp Trippalindee,RESTAURANT,43.0755206,-89.3956058,4.5,363,2,892758008cbffff,0,0.0,64.0,0.0,0.0,0.0,0.623129,0.0,0.159962,0.047989
ven_556234435a6d42746a627052676f42545a7a644e66515a4a496843,Fugu Asian Fusion,ASIAN_FUSION_RESTAURANT,43.0744241,-89.3936349,3.8,333,0,892758008cbffff,0,0.0,39.0,0.0,0.0,0.0,0.518523,0.0,0.159962,0.047989
ven_4155445454756173514e6952676f4254567a36597253494a496843,QDOBA Mexican Eats,MEXICAN_RESTAURANT,43.0750867,-89.3946364,3.7,309,1,892758008cbffff,0,0.0,30.0,0.0,0.0,0.0,0.498399,0.0,0.159962,0.047989
ven_7362723355774471674e7952676f4254565477674834514a496843,Potbelly,SANDWICH_RESTAURANT,43.0749862,-89.3951679,3.8,251,1,892758008cbffff,0,0.0,48.0,0.0,0.0,0.0,0.493386,0.0,0.159962,0.047989
ven_49335677573077584a334d52676f42545a7a636c7a2d4a4a496843,Yume Sushi,JAPANESE_RESTAURANT,43.0746449,-89.3934602,4.0,249,2,892758008cbffff,0,0.0,61.0,0.0,0.0,0.0,0.518606,0.0,0.159962,0.047989
